our_code	producer_code	name	producer	quantity	price	ean
0PR032971/1	032971/1	PROG WEWNETRZNY PRAWY TRUCK RZEMIOSLO...	POLONEZ/FSO	0	56,40	
0PR032972/1	032972/1	PROG WEWNETRZNY LEWY TRUCK RZEMIOSLO...	POLONEZ/FSO	0	50,16	
0PR033029/1	033029/1	PROG ZEWNETRZNY P TRUCK RZEM.	POLONEZ/FSO	0	59,32	2304
0PR033030/1	033030/1	PROG ZEWNETRZNY L TRUCK RZEM.	POLONEZ/FSO	0	61,34	2303
0PR033763	033763	PRZEWOD TERMOSTAT KOLEKTOR SSACY PN	POLONEZ/FSO	0	6,18	
0PR054064	054064	PRZEWOD CHLODNICY GORNY PN DIESEL  ....	POLONEZ/FSO	0	16,38	
0PR054066	054066	PRZEWOD TER-RURA POSR.CHL.PN 1,9 WOLMOT.	POLONEZ/FSO	0	9,57	
0PR054227	054227	PRZEWOD CHLODNICY DOLNY PN DIESEL	POLONEZ/FSO	0	10,27	
0PR054657	054657	PRZYCISK SYGNALU PN CARO FABR.........	POLONEZ/FSO	0	29,00	
0PR054888/1	054888/1	PRZEWOD FIL.POW.PN 1,9 DL.RZEM ZBROJONY.	POLONEZ/FSO	0	34,80	
0PR059243	059243	PRZEWOD CHLODNICY DOLNY PN ROVER  .....	POLONEZ/FSO	0	11,04	
0PR059326	059326	PRZEWOD CHLOD. GORNY PN ROVER  .........	POLONEZ/FSO	0	19,72	
0PR059327	059327	PRZEWOD CHLODNICY GORNY PN ROVER WOLBROM	POLONEZ/FSO	0	7,79	
0PR060171	060171	PRZEWOD LACZ.RUR.UK.CHL.ROVER  .........	POLONEZ/FSO	0	6,05	
0PR060396	060396	PRZEWOD EL.P-PY PALIWA PN W/WTR+ROV/OCZK	POLONEZ/FSO	0	12,63	
0PR061725	061725	PRZEWOD ELAST.H-CA PRZOD PN CARO	POLONEZ/FSO	0	8,69	
0PR062013/M1	062013/M1	PRZEWOD H-CA PN LUCAS PRZOD"P" MIEDZ.M-1	POLONEZ/FSO	2	21,81	5908243290361
0PR062015/M2	062015/M2	PRZEWOD H-CA PN LUCAS PRZOD"L" MIEDZ.M-2	POLONEZ/FSO	2	10,68	5908243290378
0PR062021/M5	062021/M5	PRZEWOD H-CA PN LUCAS TYL "P" MIEDZ.M-5	POLONEZ/FSO	4	14,98	5908243290408
0PR062023/M4	062023/M4	PRZEWOD H-CA PN LUCAS TYL "L" MIEDZ.M-4.	POLONEZ/FSO	4	10,42	5908243290392
0PR062418	062418	PRZEWOD ELAST.H-CA PRZOD PN LUCAS	POLONEZ/FSO	0	9,56	
0PR063654	063654	PRZEWOD ZBIOR.PAL.PN ATU  SPI+GSI ......	POLONEZ/FSO	0	12,92	
0PR063849	063849	PRZEWOD ELAST.H-CA TROJ.PN LUCAS-KROTKI.	POLONEZ/FSO	0	7,20	
0PR066295	066295	PRZEWOD ELAST.MAGISTRALI PALIW PN W.WTRY	POLONEZ/FSO	0	29,56	
0PR066508	066508	PRZEWOD OBUD.PRZEP.-GLOWICA PN WIEL/WTR.	POLONEZ/FSO	0	6,32	
0PR066930	066930	PRZEWOD ODPOWIETRZ.SILN.PN WIEL.WTRYSK	POLONEZ/FSO	0	15,33	
0PR076602	076602	PRZEWOD ZBIOR.PAL.PN PLUS 1PKT.WT ......	POLONEZ/FSO	0	14,38	
0PR077525	077525	PRZEWOD NAGRZ.PN PLUS ODPLYW./NAGRZ-SIL/	POLONEZ/FSO	0	6,79	
0PR081184	081184	PRZEWOD SSACY FILTRA POW.PN 1,9 98>	POLONEZ/FSO	0	41,33	
MOT16PWK02	16PWK02	PRZEGUB WAHACZA DOLNY FSO 16PWK02 RZEMIO	MOTOTECHNIKA	0	18,89	5906031420310
0PR31011B	31011B	PRZEGUB WAHACZA DOLNY FSO FABRYCZNY.....	POLONEZ/FSO	0	16,39	
MOT16PWK01	16PWK01	PRZEGUB WAHACZA GORNY FSO 16PWK01 RZEMI	MOTOTECHNIKA	0	18,89	5906031420334
0PR4066564	4066564	PRZEWOD GUMOWY POMPA WODY-TER.FSO ......	POLONEZ/FSO	0	2,00	
0PR4073996	4073996	PRZEWOD GUMOWY POMPA WODY RURKA NAG.FSO	POLONEZ/FSO	0	1,78	
0PR4108899	4108899	PRZEWOD ELAST.H-CA TYL PN/FSO	POLONEZ/FSO	0	6,13	
0PR4113774	4113774	PRZEWOD ODPOWIETRZNIKA GOR.FSO	POLONEZ/FSO	0	2,58	
0PR4113775	4113775	PRZEWOD ODPOWIETRZNIKA DOL.FSO CIENKI	POLONEZ/FSO	0	1,66	
0PR4125949	4125949	PRZEWOD ELAST.H-CA PRZOD PN/FSO	POLONEZ/FSO	0	7,95	
0PR4158827	4158827	PRZEWOD CHLODNICY FSO DOLNY FABRYCZNY	POLONEZ/FSO	0	12,30	
0PR4165325	4165325	PRZEWOD ELAST.SILOWNIKA FSO    .........	POLONEZ/FSO	0	8,33	
0PR4170331	4170331	PRZEWOD ELAST.H-CA DO TROJNIKA PN	POLONEZ/FSO	0	6,96	
0PR4178289	4178289	PRZEWOD CHLODNICY GORNY FSO FABRYCZNY	POLONEZ/FSO	0	10,88	
0PR4253896	4253896	PRZEWOD ZBIOR.PALIWA FSO GUMOWY FAB	POLONEZ/FSO	0	6,10	
0PR4253896/1	4253896/1	PRZEWOD ZBIOR.PALIWA FSO GUMOWY PAGUM	POLONEZ/FSO	11	7,25	5907553959180
